NCTId,BriefTitle,DetailedDescription,Phase,Status,WhyStopped,Interventions,Conditions,Sponsor,InterventionText,is_small_molecule,WhyStopped_clean,toxicity_flag,DrugName
NCT05403476,A Trial to Compare Efficacy and Safety of Follitropin Delta Versus Placebo (Inactive Treatment) in the Treatment of Men With Idiopathic Infertility (Unexplained Reduction of Semen Quality) (ADAM),,[],TERMINATED,The probability of enrolling subjects in the trial in a reasonable timeframe was too low. The termination was not due to safety concerns nor changes in Ferring's Reproductive Medicine strategy or interest in developing treatments for Male Infertility,"[{'type': 'DRUG', 'name': 'FE 999049', 'description': 'FE 999049 is administered as single daily subcutaneous injections of 12 μg for 6 months.', 'armGroupLabels': ['FE 999049 (Follitropin Delta)'], 'otherNames': ['REKOVELLE', 'Follitropin Delta']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Placebo is administered as single daily subcutaneous injection dialed to the same value (dose) as FE 999049 for 6 months.', 'armGroupLabels': ['Placebo']}]",['Male Idiopathic Infertility'],Ferring Pharmaceuticals,"[{'type': 'drug', 'name': 'fe 999049', 'description': 'fe 999049 is administered as single daily subcutaneous injections of 12 μg for 6 months.', 'armgrouplabels': ['fe 999049 (follitropin delta)'], 'othernames': ['rekovelle', 'follitropin delta']}, {'type': 'drug', 'name': 'placebo', 'description': 'placebo is administered as single daily subcutaneous injection dialed to the same value (dose) as fe 999049 for 6 months.', 'armgrouplabels': ['placebo']}]",True,the probability of enrolling subjects in the trial in a reasonable timeframe was too low. the termination was not due to safety concerns nor changes in ferring's reproductive medicine strategy or interest in developing treatments for male infertility,True,fe 999049
NCT01545427,Proof of Concept Trial of Gleevec (Imatinib) in Active Diffuse Scleroderma,"Purpose:

Scleroderma is a connective tissue disease that is prototypical for fibrosis with autoantibodies and vascular abnormalities including vasomotor instability (Raynaud's) at one end and blood vessel obliteration at the other (1,2). Scleroderma occurs in \> 2/10,000 (with thousands of Canadians affected) and has no proven therapy to modify the disease overall (3). The purpose of this study is to investigate the potential of Gleevec to be used as a novel therapy in the treatment of scleroderma.

Background:

There are two subtypes of systemic scleroderma: diffuse and limited (2). Limited skin involvement includes skin involvement distal to the elbows and knees and may include the neck and face, but spares the trunk and proximal extremities. Diffuse scleroderma has more extensive skin involvement including trunk or proximal extremities and is associated with more internal organ involvement and increased mortality (4). For instance, significant interstitial lung disease, cardiomyopathy and scleroderma renal crisis are more common in diffuse scleroderma than limited. The extent of organ involvement in these areas may correlate with the extent of skin involvement and worsening skin involvement is associated with increased mortality and worse overall health function as measured by the Health Assessment Questionnaire (HAQ) (5).

Formulation of Objective:

Various signals that could be therapeutically down regulated in scleroderma such as PDGF, VEGF, endothelin, and TGFβ are potential therapeutic targets. The inhibition of tyrosine kinase can decrease cell growth and could be a key signal modifier in scleroderma (6). Signal transduction modification with selected targets has been very successful in the treatment of some cancers, such as using Gleevec in chronic myelocytic leukemia (7).

Gleevec (imatinib) is an oral tyrosine kinase inhibitor. It is used in the treatment of CML and some GI stromal tumors, with a reduction in mortality in CML. Tyrosine kinase activates PDGF and TGFbeta, which are key signals in scleroderma so a proof of concept study is needed to determine if there is a biological signal to proceed in a disease of fibrosis such as scleroderma. PDGF regulation is important in fibrotic diseases by stimulating replication and migration of myofibroblasts (8).

Protocol:

Subjects with active diffuse scleroderma will be enrolled after consenting and will receive Gleevec 400mg/od or placebo. Serum and skin biopsies will be collected for biomarkers. Serum samples will be taken at baseline, 3 and 6 months and analyzed by ELISA/multiplexing for changes in profibrotic cytokines including PDGF, VEGF, endothelin, and TGFβ. Skin biopsies will be taken prior to the first dose and at 6 months. Modified Rodnan Skin Score (MRSS), Health Assessment Questionnaire (HAQ), MD and patient global assessments will also be done at times 0, 3, and 6 months. SF36 and Health Transition Score will be done at 0 and 6 months. Biochemistry for safety and inflammation will be done once a month for the duration of the trial.

Gleevec at 400 mg/od or placebo will be given orally with food and a large glass of water for 6 months. As this is a proof of concept and Phase IIa trial they will be randomized into active vs. placebo groups in a 4:1 ratio, where n=20. Therefore, 16 patients will receive active drug and 4 will receive placebo.

Specific Aims:

1. Primary outcome measurement: changes in cytokine expression in skin biopsies and serum samples for profibrotic cytokines.
2. To determine the between groups differences from baseline to final skin score on Gleevec and placebo at 6 months using the Modified Rodnan Skin Score (MRSS).
3. To compare the AEs (adverse events) and SAEs (serious adverse events) between the groups.
4. Secondary objectives will be:

Comparing secondary outcome measurements such as: MD global, patient global, HAQ, SF36, Health Transition, ESR, CRP.

Randomization and Blinding:

The randomization will be stratified by current use of methotrexate. It is anticipated that the majority of patients in this trial will not be taking methotrexate at time of randomization, but stratification should balance the groups if there is a heterogenous response. The randomization will be done in balanced blocks of 5, after stratification by methotrexate use. The pharmacy will be called and will provide the medication and will have the randomization code. The trial is blinded where the patient, the research nurse performing study procedures including dispensing the study drug, and the physician doing the outcome assessments will all be unaware of treatment allocation.

Concomitant Medications:

Stable dose concomitant methotrexate of up to 25 mg/week if tolerated (po or sc) can be continued throughout the study. In addition, if necessary, folate can be added or increased to decrease side effects.

All standard of care is allowed except for the medications listed above. Thus treatment for GERD, Raynaud's, digital ulcers, HTN, delayed GI emptying, small bowel overgrowth, Sjogren's symptoms, arthritis (using NSAIDs or low dose prednisone) is allowed. Severe PAH and severe ILD is excluded as there could be expectations that this comorbidity may interfere with the current 24-week treatment protocol. Steroids can be increased in the rare chance that a patient develops a complication or co-morbidity that requires higher doses of steroids as part of standard care. Regular need for antibiotics for small bowel overgrowth is allowed.

Good clinical practice will be followed and other appropriate treatment will not be denied. This is an 'add-on' treatment to standard care. Concomitant medications will be assumed to be held stable throughout the study. Patients taking any medications that may interact with Gleevec (eg. SSRIs, TCA, trazadone, benzodiazepines, betablockers, etc.) will be monitored cautiously.

Since Gleevec has been postulated (by a case report) to improve pulmonary arterial hypertension (PAH) annual echocardiograms that are done as part of standard care may be compared between the groups determining the estimated PAP on echocardiogram (9).

AEs and SAEs:

The University of Western Ontario Ethics Committee will approve the protocol and any amendments and will be informed of any SAEs as per usual research conduct. The patients are free to withdraw consent or drop out at any time with no adverse effect on their future care. As per any trial, AEs and SAEs will be collected. SAEs will be reported in an expedited way to the UWO Ethics Committee and Novartis.

Pregnancies:

Pregnancy or fathering of a child, although not itself a serious adverse event, should also be reported on a serious adverse event form or pregnancy form and be followed up to determine outcome, including spontaneous or voluntary termination, details of birth, and the presence or absence of any birth defects or congenital abnormalities. In addition to any pregnancy or fathering of a child within 84 days (12 weeks or 3 months) after the last Gleevec intake has to be reported and recorded as an SAE.

Any pregnancy that occurs during study participation should be reported using a Clinical Trial Pregnancy Form. To ensure patient safety each pregnancy must also be reported to Novartis within 24 hours of learning of its occurrence. The pregnancy should be followed up to determine outcome, including spontaneous or voluntary termination, details of birth, and the presence or absence of any birth defects or congenital abnormalities or maternal and newborn complications.

Patients will be informed of the risks involved in becoming pregnant while taking Gleevec in the Letter of Information and female partners of male study participants will be required to read and sign a ""Pregnant Partner Data Release Form"" acknowledging that they have been informed of these risks as well.

Discontinuation of Treatment:

The patients are free to drop out at any time. A severe allergic reaction will necessitate withdrawal. If there are sustained cytopenias (WBC \<2.0, Hbg \< 8.0 or Plt \< 50,000) for 2 infusions in a row then the patient will be withdrawn. If there is a WBC \< 1.0 or Hbg \< 7.5 or Plt \< 10,000 at any time, the patient will be withdrawn. If there are sustained elevations of AST/ALT twice in a row, of twice the upper limit of normal, then the methotrexate will be decreased by 5 mg/week. If the elevation persists for 2 more tests, the methotrexate will be held for two weeks and the liver enzymes repeated. If still elevated, the methotrexate will be cut in half and if still elevated and no other concomitant meds are thought to be causing the elevation, then the patient will be withdrawn.

Sample Size:

This study is a pilot and is not anticipated to have enough power to have a statistically significant between groups difference on skin score. However, the effects on fibrosis and other mediators in serum and tissue specimens may help to determine if a larger trial should be a 'go' or 'no go'.

Analysis:

This will be a modified intent to treat analysis, where any patient receiving at least one dose of the study drug will be analyzed, and for dropouts the last observation will be carried forward (LOCF). The primary outcome measurement will be changes in profibrotic cytokine expression in serum and urine samples and skin biopsies. Multiplexing will be used to measure up to 30 analytes of interest in one 50ul sample of any biological fluid. Statistics will include the between groups (active and placebo) difference at 24 weeks (6 months) in the MRSS. There will be a between groups assessment of HAQ, ESR and CRP for placebo compared to Gleevec. The SF36 and Health Transition Scores will be compared using paired tests. AEs and SAEs will be quantified and compared between placebo and active treatment. PK and PD data will only be analyzed if there is a thought of continuing drug development in this area. If the data appear to demonstrate some benefit, then a repeated measures ANOVA will be done to determine if there are between groups differences at various time points.

Data Safety Monitoring Board:

All SAEs will be reported to the Ethics Committee and to Novartis. An independent safety board blinded to treatment allocation will meet at 3 months to monitor study progress and SAEs. There will be no interim analysis, as the study is not powered to do one. Safety events will be collected up until one month after discontinuing study drug in all cases wherever possible.",[],TERMINATED,Frequent adverse events occurred early in treatment with poor tolerability.,"[{'type': 'DRUG', 'name': 'Imatinib mesylate', 'description': '200 mg bid for 6 months', 'armGroupLabels': ['Gleevec'], 'otherNames': ['Gleevec']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Placebo coated to match appearance of Gleevec identically.', 'armGroupLabels': ['Placebo']}]",['Scleroderma'],London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,"[{'type': 'drug', 'name': 'imatinib mesylate', 'description': '200 mg bid for 6 months', 'armgrouplabels': ['gleevec'], 'othernames': ['gleevec']}, {'type': 'other', 'name': 'placebo', 'description': 'placebo coated to match appearance of gleevec identically.', 'armgrouplabels': ['placebo']}]",True,frequent adverse events occurred early in treatment with poor tolerability.,True,imatinib mesylate
NCT00953576,"Ketoconazole, Hydrocortisone, Dutasteride and Lapatinib (KHAD-L) in Prostate Cancer","The current study builds on investigators' KHAD experience by further targeting pathways that may still be enhancing AR activity despite reduced testosterone and DHT. Importantly, studies from several groups have shown that EGFR and Her2/Neu activation can enhance AR signaling and increase AR transcriptional activity in response to low levels of androgens. Evaluation in the clinic and lab has shown that there is increased expression of EGFR or Her2/Neu in CRPC. In addition to upregulation in EGFR and Her2/Neu protein expression, signaling through these receptors may be enhanced in some tumors by increases in growth factor levels or other mechanisms. Based on these results, the investigators suggest that EGFR and Her2/Neu contribute to enhancing AR transcriptional activity especially at low androgen levels. If this hypothesis is correct, then dual blockade of EGFR and Her2/Neu in CRPC should enhance the ability of KHAD to abrogate AR activity. Moreover, as androgens can protect PCa cells from cell death in response to EGFR/Her2/Neu/PI3 kinase pathway inhibition, we propose that KHAD plus lapatinib may be a particularly active combination therapy for CRPC.",[],TERMINATED,The study terminated early due to concerns about drug toxicity.,"[{'type': 'DRUG', 'name': 'ketoconazole', 'armGroupLabels': ['All Phase I Participants', 'Phase I Dose Level 1 (DL1): KHAD+L (250 mg)', 'Phase I Dose Level 2 (DL2): KHAD+L (500 mg)'], 'otherNames': ['Nizoral']}, {'type': 'DRUG', 'name': 'hydrocortisone', 'armGroupLabels': ['All Phase I Participants', 'Phase I Dose Level 1 (DL1): KHAD+L (250 mg)', 'Phase I Dose Level 2 (DL2): KHAD+L (500 mg)'], 'otherNames': ['Cortef', 'Hydrocortone']}, {'type': 'DRUG', 'name': 'dutasteride', 'armGroupLabels': ['All Phase I Participants', 'Phase I Dose Level 1 (DL1): KHAD+L (250 mg)', 'Phase I Dose Level 2 (DL2): KHAD+L (500 mg)'], 'otherNames': ['Avodart']}, {'type': 'DRUG', 'name': 'lapatinib', 'armGroupLabels': ['All Phase I Participants', 'Phase I Dose Level 1 (DL1): KHAD+L (250 mg)', 'Phase I Dose Level 2 (DL2): KHAD+L (500 mg)'], 'otherNames': ['lapatinib ditosylate', 'Tyverb']}]",['Prostate Cancer'],Dana-Farber Cancer Institute,"[{'type': 'drug', 'name': 'ketoconazole', 'armgrouplabels': ['all phase i participants', 'phase i dose level 1 (dl1): khad+l (250 mg)', 'phase i dose level 2 (dl2): khad+l (500 mg)'], 'othernames': ['nizoral']}, {'type': 'drug', 'name': 'hydrocortisone', 'armgrouplabels': ['all phase i participants', 'phase i dose level 1 (dl1): khad+l (250 mg)', 'phase i dose level 2 (dl2): khad+l (500 mg)'], 'othernames': ['cortef', 'hydrocortone']}, {'type': 'drug', 'name': 'dutasteride', 'armgrouplabels': ['all phase i participants', 'phase i dose level 1 (dl1): khad+l (250 mg)', 'phase i dose level 2 (dl2): khad+l (500 mg)'], 'othernames': ['avodart']}, {'type': 'drug', 'name': 'lapatinib', 'armgrouplabels': ['all phase i participants', 'phase i dose level 1 (dl1): khad+l (250 mg)', 'phase i dose level 2 (dl2): khad+l (500 mg)'], 'othernames': ['lapatinib ditosylate', 'tyverb']}]",True,the study terminated early due to concerns about drug toxicity.,True,ketoconazole
NCT03593694,Technology Delivered Diabetes-Modified Behavioral Activation Treatment,"Diabetes Mellitus is highly prevalent in the United States (CDC 2014) and African Americans (AA) are disproportionately affected and have higher prevalence, poorer metabolic control and greater risk for complications and death compared to White Americans. Evidence from the literature show that effective interventions for AAs with Type 2 Diabetes Mellitus (T2DM) have multiple components including: education and skills training, nurse case management, and maintain high intensity. However, few large Randomized Clinical Trials (RCT) have tested multi-component interventions that include these key components in AAs with T2DM.

Behavioral Activation is a psychotherapeutic process whereby patients are encouraged to identify and schedule structured and enjoyable activities for behavior change that are likely to improve outcomes such as mood, behaviors and quality of life. A brief manualized behavioral activation treatment for depression (BATD), has been modified for diabetes.

This study tests a multi-component, high intensity intervention that incorporates several strategies that have been shown to be effective in improving diabetes outcomes in AAs. Nurse case managers will use videoconferencing technology to deliver education, skills training and problem solving for diabetes via smartphones, an approach that has not been used previously in vulnerable and underserved ethnic minority populations.",[],TERMINATED,Service provider challenges precluded intervention delivery.,"[{'type': 'BEHAVIORAL', 'name': 'TECH DM-BAT', 'description': 'Multi-component, high intensity intervention, technology delivered, diabetes-modified behavioral activation treatment.', 'armGroupLabels': ['Group 3']}, {'type': 'BEHAVIORAL', 'name': 'TECH DMBAT Active Comparator', 'description': 'Technology delivered diabetes education and home tele monitoring', 'armGroupLabels': ['Group 2']}, {'type': 'BEHAVIORAL', 'name': 'TECH DMBAT Other', 'description': 'Technology delivered diabetes education', 'armGroupLabels': ['Group 1']}]","['Diabetes Mellitus, Type 2']",State University of New York at Buffalo,"[{'type': 'behavioral', 'name': 'tech dm-bat', 'description': 'multi-component, high intensity intervention, technology delivered, diabetes-modified behavioral activation treatment.', 'armgrouplabels': ['group 3']}, {'type': 'behavioral', 'name': 'tech dmbat active comparator', 'description': 'technology delivered diabetes education and home tele monitoring', 'armgrouplabels': ['group 2']}, {'type': 'behavioral', 'name': 'tech dmbat other', 'description': 'technology delivered diabetes education', 'armgrouplabels': ['group 1']}]",True,service provider challenges precluded intervention delivery.,True,
NCT04178460,A Study of Niraparib Combined With MGD013 in Patients With Advanced or Metastatic Solid Tumor Who Failed Prior Treatment,,[],TERMINATED,This termination decision is a business decision and is not due to any safety concerns.,"[{'type': 'DRUG', 'name': 'Niraparib combined with MGD013', 'description': 'The dose escalation part will enroll about 9 - 24 Gastric cancer (including gastroesophageal junction cancer) subjects, with fixed dose niraparib (200mg or 300mg) combined with MGD013 (120mg, 300mg or 600mg ) in different dose level.\n\nFor the dose expansion part, patients with advanced or metastatic Gastric cancer (including gastroesophageal junction cancer), Triple negative breast cancer, Biliary tract carcinoma, Endometrial carcinoma will be enrolled, about 35 subjects for each expansion cohort during dose expansion phase with fixed dose niraparib (200mg or 300mg) combined with fixe dose MGD013 (to be confirmed after dose escalation).', 'armGroupLabels': ['Assigned Interventions']}]","['Gastric Cancer', 'Triple Negative Breast Cancer', 'Biliary Tract Carcinoma', 'Endometrial Carcinoma']","Zai Lab (Shanghai) Co., Ltd.","[{'type': 'drug', 'name': 'niraparib combined with mgd013', 'description': 'the dose escalation part will enroll about 9 - 24 gastric cancer (including gastroesophageal junction cancer) subjects, with fixed dose niraparib (200mg or 300mg) combined with mgd013 (120mg, 300mg or 600mg ) in different dose level.\n\nfor the dose expansion part, patients with advanced or metastatic gastric cancer (including gastroesophageal junction cancer), triple negative breast cancer, biliary tract carcinoma, endometrial carcinoma will be enrolled, about 35 subjects for each expansion cohort during dose expansion phase with fixed dose niraparib (200mg or 300mg) combined with fixe dose mgd013 (to be confirmed after dose escalation).', 'armgrouplabels': ['assigned interventions']}]",True,this termination decision is a business decision and is not due to any safety concerns.,True,niraparib combined with mgd013
NCT03126760,Acthar Gel for Multiple Sclerosis That Keeps Getting Better and Worse (RRMS),,[],TERMINATED,Recruitment difficulties and COVID-19 logistical challenges; no safety concerns,"[{'type': 'DRUG', 'name': 'Acthar Gel', 'description': 'Acthar Gel 1 mL (80U) for subcutaneous injection', 'armGroupLabels': ['Acthar Gel'], 'otherNames': ['Repository Corticotropin Injection']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Placebo for subcutaneous injection', 'armGroupLabels': ['Placebo'], 'otherNames': ['Matching Placebo']}]","['Multiple Sclerosis, Relapsing-Remitting']",Mallinckrodt ARD LLC,"[{'type': 'drug', 'name': 'acthar gel', 'description': 'acthar gel 1 ml (80u) for subcutaneous injection', 'armgrouplabels': ['acthar gel'], 'othernames': ['repository corticotropin injection']}, {'type': 'drug', 'name': 'placebo', 'description': 'placebo for subcutaneous injection', 'armgrouplabels': ['placebo'], 'othernames': ['matching placebo']}]",True,recruitment difficulties and covid-19 logistical challenges; no safety concerns,True,acthar gel
NCT00759876,Phase 2a Extension Study of Ataluren (PTC124) in Duchenne Muscular Dystrophy (DMD),"This Phase 2a, multicenter, open-label safety and efficacy study will be performed at 3 sites in the United States. The study will enroll up to 38 participants with nonsense mutation Duchenne muscular dystrophy who participated in a previous Phase 2a study of ataluren (Protocol Number PTC124-GD-004-DMD \[NCT00264888\]). Participants will receive study drug 3 times per day (at breakfast, lunch, and dinner) for approximately 96 weeks (approximately 2 years). Study assessments will be performed at clinic visits during screening, every 6 weeks for the first 24 weeks, and then every 12 weeks until the end of the study. Additional safety laboratory testing, which may be performed at the investigational site or at an accredited local laboratory or clinic, is required every 3 weeks for the first 24 weeks and then every 6 weeks from Week 24 to Week 48. Participants will have a biceps muscle biopsy before ataluren treatment and again after 24 weeks of ataluren treatment to evaluate changes in muscle dystrophin expression. An evaluation of the effects of ataluren on corticosteroid pharmacokinetics will be performed. Associated with this ataluren clinical trial is a substudy that will use magnetic resonance evaluations to assess changes in the composition of muscles of the legs.",[],TERMINATED,Terminated early because similar study with Ataluren (PTC124-GD-007-DMD; NCT00592553) exhibited lack of efficacy at the high dose (not due to safety concerns).,"[{'type': 'DRUG', 'name': 'Ataluren', 'description': 'Ataluren will be provided as a vanilla-flavored powder to be mixed with milk. Dosing based on participant body weight', 'armGroupLabels': ['Ataluren'], 'otherNames': ['PTC124']}]",['Duchenne Muscular Dystrophy'],PTC Therapeutics,"[{'type': 'drug', 'name': 'ataluren', 'description': 'ataluren will be provided as a vanilla-flavored powder to be mixed with milk. dosing based on participant body weight', 'armgrouplabels': ['ataluren'], 'othernames': ['ptc124']}]",True,terminated early because similar study with ataluren (ptc124-gd-007-dmd; nct00592553) exhibited lack of efficacy at the high dose (not due to safety concerns).,True,ataluren
NCT03490162,Safety and Pharmacokinetics Study of DM1157 to Treat Malaria,"This is a first-in-humans, phase 1, randomized, double-blind, single-site, placebo-controlled study in 104 healthy volunteers, males and females, aged 18 to 45 years inclusive. The study will consists of 3 parts: Part 1, Single Ascending Dose (SAD) - participants will be administered a single dose (ranges from 9 mg to 900 mg) of DM1157 orally after fasting or a matching placebo; Part 2, Multiple Ascending Dose (MAD) - participants will be administered three doses (ranges from 150 mg to 900 mg) of DM1157 orally once daily for three days after fasting or a matching placebo; and Part 3, Food Effect - participants will be administered 300 mg of DM1157 orally with high fat meal or a matching placebo. Part 2 and Part 3 may be initiated after a Safety Monitoring Committee (SMC) review and approval of the of Part 1 safety data. Study duration will be 16 months with patient participation duration 14 days for SAD and Food Effect, and 18 days for MAD. The primary objectives of this study are to: 1) assess the safety and tolerability of single doses of DM1157 at levels ranging from 9 mg to 900 mg; 2) assess the safety and tolerability of DM1157 administered as single daily doses for 3 days at levels ranging from 150 mg to 900 mg; 3) assess the safety and tolerability of DM1157 administered with or without food. The secondary objectives are to: 1) assess the PK of single doses of DM1157 at levels ranging from 9 mg to 900 mg, including dose proportionality; 2) assess the PK of DM1157 administered as single daily doses for 3 days at levels ranging from 150 mg to 900 mg; 3) assess the PK of 300 mg DM1157 administered with or without food, including determination of the presence or absence of a food effect on exposure.",[],TERMINATED,There was toxicity in higher dose groups and a therapeutic dose level was not found in lower dose groups.,"[{'type': 'DRUG', 'name': 'DM1157', 'description': 'DM1157 is a novel anti-malarial drug that is derived from chloroquine. DM1157 maintains the efficacy of chloroquine and has molecular features that overcome resistance to chloroquine.', 'armGroupLabels': ['Food Effect', 'MAD 1', 'MAD 2', 'MAD 3', 'MAD 4', 'SAD 1', 'SAD 2', 'SAD 3', 'SAD 4', 'SAD 5', 'SAD 6', 'SAD 7']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Placebo', 'armGroupLabels': ['Food Effect', 'MAD 1', 'MAD 2', 'MAD 3', 'MAD 4', 'SAD 1', 'SAD 2', 'SAD 3', 'SAD 4', 'SAD 5', 'SAD 6', 'SAD 7']}]",['Malaria'],National Institute of Allergy and Infectious Diseases (NIAID),"[{'type': 'drug', 'name': 'dm1157', 'description': 'dm1157 is a novel anti-malarial drug that is derived from chloroquine. dm1157 maintains the efficacy of chloroquine and has molecular features that overcome resistance to chloroquine.', 'armgrouplabels': ['food effect', 'mad 1', 'mad 2', 'mad 3', 'mad 4', 'sad 1', 'sad 2', 'sad 3', 'sad 4', 'sad 5', 'sad 6', 'sad 7']}, {'type': 'other', 'name': 'placebo', 'description': 'placebo', 'armgrouplabels': ['food effect', 'mad 1', 'mad 2', 'mad 3', 'mad 4', 'sad 1', 'sad 2', 'sad 3', 'sad 4', 'sad 5', 'sad 6', 'sad 7']}]",True,there was toxicity in higher dose groups and a therapeutic dose level was not found in lower dose groups.,True,dm1157
NCT02187029,"Efficacy, Safety And Tolerability Of PF-06743649 In Gout Subjects.",,[],TERMINATED,B7911002 was prematurely discontinued due to a safety concern that led to decision to terminate the study on 10 Nov 2014,"[{'type': 'DRUG', 'name': 'PF-06743649', 'description': 'Daily dosing (dose level 1) tablet for 14 days', 'armGroupLabels': ['PF-06743649 dose level 1 (Cohort 1)']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Daily dosing (tablet) for 14 days', 'armGroupLabels': ['Placebo for PF-06743649 (Cohort 1)']}, {'type': 'DRUG', 'name': 'PF-06743649', 'description': 'Daily dosing (dose level 2) tablet(s) for 14 days', 'armGroupLabels': ['PF-06743649 dose level 2 (Cohort 2)']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Daily dosing (tablets) for 14 days', 'armGroupLabels': ['Placebo for PF-06743649 (Cohort 2)']}]",['Gout'],Pfizer,"[{'type': 'drug', 'name': 'pf-06743649', 'description': 'daily dosing (dose level 1) tablet for 14 days', 'armgrouplabels': ['pf-06743649 dose level 1 (cohort 1)']}, {'type': 'other', 'name': 'placebo', 'description': 'daily dosing (tablet) for 14 days', 'armgrouplabels': ['placebo for pf-06743649 (cohort 1)']}, {'type': 'drug', 'name': 'pf-06743649', 'description': 'daily dosing (dose level 2) tablet(s) for 14 days', 'armgrouplabels': ['pf-06743649 dose level 2 (cohort 2)']}, {'type': 'other', 'name': 'placebo', 'description': 'daily dosing (tablets) for 14 days', 'armgrouplabels': ['placebo for pf-06743649 (cohort 2)']}]",True,b7911002 was prematurely discontinued due to a safety concern that led to decision to terminate the study on 10 nov 2014,True,pf-06743649
NCT01532362,Evaluation of Apricoxib (Selective Cyclooxygenase 2 Inhibition) in Modulating T Regulatory Cells of Patients With Early Stage Non-small Cell Lung Cancer,,[],TERMINATED,Drug sponsor stopped drug manufacture due to toxicity issues from other studies,"[{'type': 'DRUG', 'name': 'Apricoxib', 'description': 'As part of the trial, forty eligible subjects will be randomly assigned to receive Apricoxib 400 mg orally once daily or no drug intervention for a 7 day period (Days 0-6) prior to surgical resection of the lung tumor but between the two surgeries.', 'armGroupLabels': ['Apricoxib', 'No drug intervention']}]",['Non Small Cell Lung Cancer'],Jonsson Comprehensive Cancer Center,"[{'type': 'drug', 'name': 'apricoxib', 'description': 'as part of the trial, forty eligible subjects will be randomly assigned to receive apricoxib 400 mg orally once daily or no drug intervention for a 7 day period (days 0-6) prior to surgical resection of the lung tumor but between the two surgeries.', 'armgrouplabels': ['apricoxib', 'no drug intervention']}]",True,drug sponsor stopped drug manufacture due to toxicity issues from other studies,True,apricoxib
NCT00323362,Gemcitabine and Imatinib Mesylate in Treating Patients With Recurrent or Metastatic Non-Small Cell Lung Cancer,"OBJECTIVES:

Primary

* Evaluate the response rate in patients with recurrent or metastatic non-small cell lung cancer treated with gemcitabine hydrochloride and imatinib mesylate.

Secondary

* Assess time to progression in patients treated with this regimen.
* Assess overall survival and 1-year survival of patients treated with this regimen.
* Assess the toxicity of this regimen in these patients.

OUTLINE: This is a multicenter, nonrandomized, uncontrolled, open-label study.

Patients receive gemcitabine hydrochloride IV on days 3 and 10 and oral imatinib mesylate once daily on days 1-5 and 8-12. Treatment repeats every 21 days in the absence of disease progression or unacceptable toxicity.

PROJECTED ACCRUAL: A total of 53 patients will be accrued for this study.",[],TERMINATED,Toxicity,"[{'type': 'DRUG', 'name': 'gemcitabine hydrochloride', 'description': '1000 mg/m2 given intravenously at a FDR of 10 mg/m2/min on Days 3 and 10, every 21 days.', 'armGroupLabels': ['Gemcitabine hydrochloride and imatinib mesylate']}, {'type': 'DRUG', 'name': 'imatinib mesylate', 'description': '400 mg/day orally, given Days 1-5 and 8-12 every 21 days', 'armGroupLabels': ['Gemcitabine hydrochloride and imatinib mesylate']}]",['Lung Cancer'],"Rutgers, The State University of New Jersey","[{'type': 'drug', 'name': 'gemcitabine hydrochloride', 'description': '1000 mg/m2 given intravenously at a fdr of 10 mg/m2/min on days 3 and 10, every 21 days.', 'armgrouplabels': ['gemcitabine hydrochloride and imatinib mesylate']}, {'type': 'drug', 'name': 'imatinib mesylate', 'description': '400 mg/day orally, given days 1-5 and 8-12 every 21 days', 'armgrouplabels': ['gemcitabine hydrochloride and imatinib mesylate']}]",True,toxicity,True,gemcitabine hydrochloride
NCT02840162,Pre-Prostatectomy Celecoxib or Placebo,"PRIMARY OBJECTIVE

I. To determine if COX-2 inhibition with celecoxib significantly increases apoptosis in human adenocarcinoma of the prostate.

SECONDARY OBJECTIVES

I. To determine if COX-2 inhibition with celecoxib reduces levels of Prostaglandin E2 and androgen receptor in fresh tumor tissue collected at prostatectomy

II. To collect pre- and postoperative serum Prostate Specific Antigen (PSA) for exploratory analyses

III. To determine the effect of celecoxib on adverse effects, perioperative surgical complications and post surgery analgesic use",[],TERMINATED,Drug safety concerns,"[{'type': 'DRUG', 'name': 'Celecoxib', 'description': 'Selective inhibition of COX-2 without significant cyclooxygenase-1 (COX-1) inhibition', 'armGroupLabels': ['Celecoxib'], 'otherNames': ['Celebrex', '4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]', 'Benzenesulfonamide']}, {'type': 'DRUG', 'name': 'Placebo', 'armGroupLabels': ['Placebo']}]","['Adenocarcinoma of the Prostate', 'Prostate Cancer']",OHSU Knight Cancer Institute,"[{'type': 'drug', 'name': 'celecoxib', 'description': 'selective inhibition of cox-2 without significant cyclooxygenase-1 (cox-1) inhibition', 'armgrouplabels': ['celecoxib'], 'othernames': ['celebrex', '4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1h-pyrazol-1-yl]', 'benzenesulfonamide']}, {'type': 'drug', 'name': 'placebo', 'armgrouplabels': ['placebo']}]",True,drug safety concerns,True,celecoxib
